,state,month_number,new_cases
0,AK,1,0
1,AK,2,0
2,AK,3,63
3,AK,4,292
4,AK,5,72
5,AK,6,394
6,AK,7,2065
7,AK,8,2115
8,AK,9,3025
9,AK,10,6513
10,AK,11,14753
11,AK,12,16510
12,AK,13,6557
13,AK,14,3627
14,AK,15,4830
15,AK,16,4509
16,AK,17,2046
17,AK,18,1064
18,AK,19,3630
19,AK,20,10362
20,AK,21,27496
21,AK,22,22076
22,AK,23,12793
23,AK,24,7571
24,AK,25,50263
25,AK,26,28181
26,AK,27,8806
27,AK,28,5552
28,AK,29,6534
29,AK,30,10886
30,AK,31,8516
31,AK,32,8787
32,AK,33,3023
33,AK,34,1874
34,AK,35,1776
35,AK,36,1562
36,AK,37,2144
37,AK,38,3046
38,AK,39,2488
39,AK,40,1400
40,AK,41,387
41,AL,1,0
42,AL,2,0
43,AL,3,472
44,AL,4,6507
45,AL,5,9284
46,AL,6,16615
47,AL,7,51774
48,AL,8,35252
49,AL,9,34868
50,AL,10,34003
51,AL,11,50543
52,AL,12,117502
53,AL,13,92267
54,AL,14,41078
55,AL,15,25188
56,AL,16,11732
57,AL,17,15743
58,AL,18,8151
59,AL,19,26484
60,AL,20,88190
61,AL,21,129120
62,AL,22,33870
63,AL,23,15563
64,AL,24,36101
65,AL,25,281623
66,AL,26,113427
67,AL,27,19658
68,AL,28,5259
69,AL,29,10247
70,AL,30,44819
71,AL,31,63735
72,AL,32,60530
73,AL,33,38299
74,AL,34,13401
75,AL,35,17980
76,AL,36,24352
77,AL,37,36898
78,AL,38,27813
79,AL,39,12101
80,AL,40,6726
81,AL,41,2761
82,AR,1,0
83,AR,2,8
84,AR,3,357
85,AR,4,3132
86,AR,5,3339
87,AR,6,11576
88,AR,7,21165
89,AR,8,18337
90,AR,9,25381
91,AR,10,24856
92,AR,11,41754
93,AR,12,72613
94,AR,13,65542
95,AR,14,28500
96,AR,15,14357
97,AR,16,4849
98,AR,17,5412
99,AR,18,8714
100,AR,19,31578
101,AR,20,60875
102,AR,21,54309
103,AR,22,16822
104,AR,23,14560
105,AR,24,31432
106,AR,25,189780
107,AR,26,55442
108,AR,27,13977
109,AR,28,3569
110,AR,29,6762
111,AR,30,22044
112,AR,31,34287
113,AR,32,31600
114,AR,33,17533
115,AR,34,7257
116,AR,35,9586
117,AR,36,13340
118,AR,37,11550
119,AR,38,7987
120,AR,39,5910
121,AR,40,3396
122,AR,41,1555
123,AS,1,0
124,AS,2,0
