,State,Agency,Source,Solved,Year,Month,Homicide,Situation,VicAge,VicSex,VicRace,VicEthnic,OffAge,OffSex,OffRace,OffEthnic,Weapon,Relationship,VicCount,OffCount
738,Alaska,Anchorage,FBI,Yes,2016,January,Manslaughter by negligence,Single victim/single offender,2.0,Male,American Indian or Alaskan Native,,21.0,Female,American Indian or Alaskan Native,,Firearm,Offspring,0.0,0.0
739,Alaska,Anchorage,FBI,Yes,2016,January,Murder and non-negligent manslaughter,Multiple victims/single offender,40.0,Female,White,,15.0,Male,White,,Firearm,Sibling,1.0,0.0
740,Alaska,Anchorage,FBI,Yes,2016,January,Murder and non-negligent manslaughter,Multiple victims/single offender,18.0,Female,White,,15.0,Male,White,,Firearm,Sibling,1.0,0.0
741,Alaska,Anchorage,FBI,Yes,2016,January,Murder and non-negligent manslaughter,Single victim/multiple offenders,49.0,Male,American Indian or Alaskan Native,,34.0,Male,White,,Firearm,Other,0.0,1.0
742,Alaska,Anchorage,FBI,Yes,2016,January,Murder and non-negligent manslaughter,Single victim/single offender,32.0,Female,American Indian or Alaskan Native,,33.0,Male,American Indian or Alaskan Native,,Other,Romantic Relation,0.0,0.0
745,Alaska,Anchorage,FBI,Yes,2016,February,Murder and non-negligent manslaughter,Single victim/single offender,30.0,Male,Asian,,17.0,Male,White,,Firearm,Other,0.0,0.0
746,Alaska,Anchorage,FBI,Yes,2016,March,Murder and non-negligent manslaughter,Single victim/single offender,30.0,Male,Asian,,46.0,Male,White,,Firearm,Friend,0.0,0.0
748,Alaska,Anchorage,FBI,Yes,2016,May,Murder and non-negligent manslaughter,Single victim/single offender,19.0,Male,Black,,23.0,Male,White,,Firearm,Other,0.0,0.0
749,Alaska,Anchorage,FBI,Yes,2016,May,Manslaughter by negligence,Single victim/single offender,48.0,Female,White,,37.0,Male,White,,Interpersonal Violence,Romantic Relation,0.0,0.0
750,Alaska,Anchorage,FBI,Yes,2016,June,Murder and non-negligent manslaughter,Single victim/single offender,30.0,Female,American Indian or Alaskan Native,,34.0,Male,White,,Firearm,Friend,0.0,0.0
751,Alaska,Anchorage,FBI,Yes,2016,July,Murder and non-negligent manslaughter,Single victim/single offender,0.0,Female,American Indian or Alaskan Native,,22.0,Female,American Indian or Alaskan Native,,Other,Offspring,0.0,0.0
752,Alaska,Anchorage,FBI,Yes,2016,July,Murder and non-negligent manslaughter,Single victim/single offender,49.0,Female,Asian,,45.0,Male,Asian,,Firearm,Romantic Relation,0.0,0.0
753,Alaska,Anchorage,FBI,Yes,2016,July,Murder and non-negligent manslaughter,Single victim/single offender,30.0,Male,White,,32.0,Male,Black,,Firearm,Friend,0.0,0.0
754,Alaska,Anchorage,FBI,Yes,2016,July,Murder and non-negligent manslaughter,Single victim/multiple offenders,24.0,Male,White,,37.0,Male,White,,Firearm,Other,0.0,1.0
755,Alaska,Anchorage,FBI,Yes,2016,July,Murder and non-negligent manslaughter,Single victim/single offender,33.0,Female,American Indian or Alaskan Native,,33.0,Male,White,,Knife or cutting instrument,Romantic Relation,0.0,0.0
